artists
Allie X
Junior Boys
Casey Mecija
Mssingno
Charli XCX
Berghain Music
Liturgy
ABRA
Oneohtrix Point Never
SOPHIE MSMSMSM
U.S. Girls
Mexican Summer
Moses Sumney
Diet Cig
Liz Vice
Hinds
Photay
Dilly Dally
Tamaryn
Evy Jane
Foals
Carly Rae Jepsen
Pional Musiq
John Talabot
Adult Mom
The Range
Austra
Egyptrixx
Small Black
Pure Bathing Culture
ZEBRA KATZ
tune-yards
Shura
Cascine
Tep No
Domino Recording Company
Terrible Records
Empress Of
Prince Innocence
SG Lewis
Aquarium Drunkard
Ghost Cape
TONSTARTSSBANDHT
Mac DeMarco
TOPS
Courtship Ritual
Motion Studies
KREAYSHAWN
Young Ejecta
The Galleria
DJ Rashad
TORRES
Robyn
Daniel Woolhouse / Deptford Goth
Hundred Waters
Doldrums
Arbutus Records
True Panther Sounds
Matador Records
Beggars Group
Rough Trade Records
Yo La Tengo
Baby's All Right
Little Simz
East India Youth
Mr Twin Sister
mura masa
Yeah Yeah Yeahs
St. Vincent
PLANNINGTOROCK
iamamiwhoami
Deradoorian
Avey Tare
Vulfpeck
Agnes Obel
Floating Points
SoKo
Lotic
ASAP Rocky
Samantha Urbani
Burial
Kindness
GODMODE
Other People
Four Tet (Official)
Jon Hopkins
Nicolas Jaar
Adult Jazz
Gazelle Twin
Perfume Genius
MIA
Cities Aviv
Real Estate
The Antlers
Deerhunter
Panda Bear
Dirty Projectors
Grimes
LOLAWOLF
Hiatus Kaiyote
4AD
Warp Records
Sub Pop
Ben Khan
Shamir
brown bird
Class Actress
Kelela
Lower Dens
Jlin Narlei
Yumi Zouma
Tei Shi
Wet
Bat For Lashes
Humans
BOOTS
The Knife
Fever Ray
Julia Holter
Owen Pallett
Sylvan Esso
Cathedrals
Glass Animals
Basia Bulat
Majid Jordan
Jessy Lanza
Laurel Halo
Lightspeed Champion
How To Dress Well
Spoon
The Knife
NAO
PLVS VLTRA
Elvis Depressedly
Hyperdub Records
Jamie Woon
Todd Terje
Björk
Polica
Mystery Skulls
SALES
Hot Chip
Tobias Jesso Jr.
Unknown Mortal Orchestra
Department of Eagles
Daniel Rossen
Ibeyi
Porches
Calvin Love
PC Music
GLASS CANDY
ITALIANS DO IT BETTER
You'll Never Get to Heaven
The Brown Folk Festival
95.5 WBRU
Tennis Music
James Blake
The xx
Daughter
Portugal. The Man
The Bowery Presents
Ta-ku
Jhené Aiko
XL Recordings
Shlohmo
Young Turks
Sampha
Denai Moore
Future Islands
Josef Salvat
Blood Orange
Caribou
Jack Garratt
Glasser
FKA twigs
Lorde
Hozier
Generationals
Cults
Cold War Kids
Chet Faker
SAM SMITH
The Bowery Ballroom
Boy & Bear
Portishead
Flume
Cut Copy
METRONOMY
Massive Attack
Strfkr
Kodaline
M83
SBTRKT
Arctic Monkeys
Toro y Moi
Rhye
Mr Little Jeans
Blackbird Blackbird
Electric Guest
Ms. Lauryn Hill
Phoenix
Phantogram
Bonobo
Disclosure
Solange
Jessie Ware
Sleigh Bells
MARINA AND THE DIAMONDS
Imogen Heap
Azealia Banks
Tame Impala
Regina Spektor
Grizzly Bear
Lykke Li
Fiona Apple
Youth Lagoon
Miguel
Jai Paul
Neon Indian
Kesha
Crystal Castles
Sky Ferreira
Amy Winehouse
Florence + The Machine
Vampire Weekend
Ingrid Michaelson
CHROMATICS
Oh Land
Major Lazer
RATATAT
Ra Ra Riot
Beach House
Purity Ring
Kendrick Lamar
Kavinsky
Miike Snow
The Weeknd
Lana Del Rey
