artists,num_likes
浜崎あゆみ（ayumi hamasaki）,525937
T-ARA,3194288
Fiestar,2072
Secret (시크릿),1084723
Kara,529974
카라 Kara,959487
Classical music,1147169
Girls' Generation-TTS,345600
Utada Hikaru,287870
Joe Hisaishi,234192
